,User,Date Submitted,Country,Source URL,Device,Browser,OS,How did you hear about us?,Medium,OSGroup
178,00000000,2018-05-08 13:35:51,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Search Engine,Search Engine,Windows
179,00000000,2018-05-09 02:14:27,Indonesia,https://algorit.ma/,desktop,Chrome 64.0.3282,Windows 10,Media Publishing,Media Publishing,Windows
180,00000000,2018-05-09 04:02:58,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Search Engine,Search Engine,Windows
181,00000000,2018-05-09 04:35:07,Indonesia,https://algorit.ma/,desktop,Edge 16.16299,Windows 10,Search Engine,Search Engine,Windows
182,00000000,2018-05-10 10:45:48,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
183,00000000,2018-05-12 15:23:37,Indonesia,https://algorit.ma/,desktop,Chrome 48.0.2540,Windows 7,Search Engine,Search Engine,Windows
184,00000000,2018-05-14 19:00:22,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Search Engine,Search Engine,Windows
185,00000000,2018-05-15 01:52:32,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
186,00000000,2018-05-15 10:41:02,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
187,00000000,2018-05-16 03:46:52,Indonesia,https://algorit.ma/,desktop,Firefox 59.0,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
188,00000000,2018-05-16 08:26:33,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
189,00000000,2018-05-16 13:53:50,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
190,00000000,2018-05-17 03:04:53,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Media Publishing,Media Publishing,Windows
191,00000000,2018-05-17 03:53:48,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
192,00000000,2018-05-17 05:33:59,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Media Publishing,Media Publishing,Windows
193,00000000,2018-05-18 08:47:00,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
194,00000000,2018-05-19 15:58:11,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
195,00000000,2018-05-20 10:43:10,Indonesia,https://algorit.ma/,desktop,Firefox 58.0,Ubuntu,Search Engine,Search Engine,Linux
196,00000000,2018-05-20 13:06:43,Indonesia,https://algorit.ma/,desktop,Chrome 64.0.3282,Windows 7,Search Engine,Search Engine,Windows
197,00000000,2018-05-21 04:13:31,,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Search Engine,Search Engine,Windows
198,00000000,2018-05-21 04:37:57,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
199,00000000,2018-05-21 04:43:47,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Social Media / Online Ads,Social Media / Online Ads,Windows
200,00000000,2018-05-21 09:16:44,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Ubuntu,Search Engine,Search Engine,Linux
201,00000000,2018-05-21 11:27:13,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
202,00000000,2018-05-22 01:21:08,Indonesia,https://algorit.ma/?user_ref=www.kalibrr.com_organic_job-board__1,desktop,Chrome 66.0.3359,Windows 10,Others - kalibrr.com,Others ,Windows
203,00000000,2018-05-22 05:32:14,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 7,Search Engine,Search Engine,Windows
204,00000000,2018-05-22 12:16:29,Malaysia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Search Engine,Search Engine,Windows
205,00000000,2018-05-22 23:38:40,Indonesia,https://algorit.ma/,phone,Chrome Mobile 56.0.2924,Android 5.1.1,Others - go-points,Others ,Android
206,00000000,2018-05-23 10:02:35,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Search Engine,Search Engine,Windows
207,00000000,2018-05-23 23:21:21,Indonesia,https://algorit.ma/,desktop,Edge 15.15063,Windows 10,Search Engine,Search Engine,Windows
208,00000000,2018-05-24 17:44:38,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Social Media / Online Ads,Social Media / Online Ads,Windows
209,00000000,2018-05-25 06:06:12,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Email,Email,Windows
210,00000000,2018-05-25 08:29:43,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Media Publishing,Media Publishing,Windows
211,00000000,2018-05-25 13:10:53,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Others - Startup Career fair post,Others ,Windows
212,00000000,2018-05-26 08:33:19,Indonesia,https://algorit.ma/,phone,Chrome Mobile 66.0.3359,Android 7.1.2,Social Media / Online Ads,Social Media / Online Ads,Android
213,00000000,2018-05-26 12:15:33,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
214,00000000,2018-05-28 02:55:43,Indonesia,https://algorit.ma/,desktop,Safari 11.1,Mac OS X 10.13.4,Social Media / Online Ads,Social Media / Online Ads,Mac
215,00000000,2018-05-28 06:48:37,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Media Publishing,Media Publishing,Windows
216,00000000,2018-05-28 07:47:34,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Media Publishing,Media Publishing,Windows
217,00000000,2018-05-28 15:58:13,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
218,00000000,2018-05-29 03:49:04,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Search Engine,Search Engine,Windows
219,00000000,2018-05-29 14:35:03,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Media Publishing,Media Publishing,Windows
220,00000000,2018-05-30 03:18:01,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 10,Email,Email,Windows
221,00000000,2018-05-31 03:03:27,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Others - dari orang lewat pake baju algorit.ma,Others ,Windows
222,00000000,2018-05-31 03:44:41,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 7,Search Engine,Search Engine,Windows
223,00000000,2018-05-31 05:49:42,Indonesia,https://algorit.ma/,tablet,Chrome 64.0.3282,Android 7.0,Social Media / Online Ads,Social Media / Online Ads,Android
224,00000000,2018-05-31 06:43:14,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
225,00000000,2018-06-03 01:31:30,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 8.1,Search Engine,Search Engine,Windows
226,00000000,2018-06-05 03:34:01,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 7,Search Engine,Search Engine,Windows
227,00000000,2018-06-05 09:37:20,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
228,00000000,2018-06-05 09:49:01,Indonesia,https://algorit.ma/,desktop,Firefox 37.0,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
229,00000000,2018-06-08 11:26:43,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.13.5,Friends / Family - gf,Friends / Family ,Mac
230,00000000,2018-06-09 04:17:31,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Media Publishing,Media Publishing,Windows
231,00000000,2018-06-10 15:46:55,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Search Engine,Search Engine,Windows
232,00000000,2018-06-11 07:57:13,Indonesia,https://algorit.ma/,desktop,Firefox 60.0,Windows 8.1,Others - techinasia,Others ,Windows
233,00000000,2018-06-12 04:10:15,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
234,00000000,2018-06-13 12:37:34,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
235,00000000,2018-06-17 19:58:51,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
236,00000000,2018-06-19 05:02:48,Indonesia,https://algorit.ma/,phone,Chrome Mobile 67.0.3396,Android 7.0,Social Media / Online Ads,Social Media / Online Ads,Android
237,00000000,2018-06-20 02:52:32,Indonesia,https://algorit.ma/,desktop,Firefox 47.0,Windows 7,Search Engine,Search Engine,Windows
