,Date Submitted,Country,Source URL,Device,Browser,Are you a student or a professional?,Medium,OSGroup
167,2018-06-11 14:56:12,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Student                                        ,Search Engine,Windows
168,2018-06-15 12:19:25,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Social Media / Online Ads,Windows
169,2018-06-15 23:43:26,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 66.0.3359,Student                                        ,Email,Android
170,2018-06-17 14:57:43,Indonesia,https://algorit.ma/data-science-academy/,tablet,Chrome 67.0.3396,Student                                        ,Media Publishing,Android
171,2018-06-18 17:35:33,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Social Media / Online Ads,Windows
172,2018-06-20 07:55:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 60.0,Student                                        ,Media Publishing,Windows
173,2018-06-23 15:09:48,Indonesia,https://algorit.ma/data-science-academy/,desktop,Edge 17.17134,Professional                                        ,Social Media / Online Ads,Windows
174,2018-06-29 02:44:51,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
175,2018-07-02 09:24:03,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 61.0.3163,Student                                        ,Social Media / Online Ads,Android
176,2018-07-05 04:44:27,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
177,2018-07-06 09:24:32,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Student                                        ,Search Engine,Windows
178,2018-07-09 07:20:06,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Others ,Windows
179,2018-07-10 17:33:31,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 55.0.2883,Professional                                        ,Search Engine,Windows
180,2018-07-11 09:01:44,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Social Media / Online Ads,Windows
181,2018-07-12 03:25:10,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,,Search Engine,Windows
182,2018-07-13 08:34:50,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
183,2018-07-14 09:44:57,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.1.1,Professional                                        ,Search Engine,Mac
184,2018-07-15 06:21:56,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.1.1,Student                                        ,Media Publishing,Mac
185,2018-07-16 05:58:09,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 67.0.3396,Student                                        ,Search Engine,Android
186,2018-07-16 08:56:00,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
187,2018-07-16 23:53:00,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 65.0.3325,Professional                                        ,Search Engine,Android
188,2018-07-18 04:31:57,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Media Publishing,Windows
189,2018-07-18 18:12:03,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 67.0.3396,Student                                        ,Media Publishing,Android
190,2018-07-20 21:32:03,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,,Search Engine,Mac
191,2018-07-23 13:22:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
192,2018-07-23 15:46:16,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Social Media / Online Ads,Windows
193,2018-07-26 03:28:58,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.1,,Search Engine,Mac
194,2018-07-26 04:21:45,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
195,,,,,,Student                                        ,,
196,2018-07-27 02:38:13,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Social Media / Online Ads,Windows
197,2018-08-02 01:15:17,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Media Publishing,Windows
198,2018-08-02 06:11:38,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,,Social Media / Online Ads,Mac
199,2018-08-03 07:46:22,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
200,2018-08-03 15:47:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
201,2018-08-04 06:06:07,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Search Engine,Windows
202,2018-08-06 10:44:28,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 61.0,Professional                                        ,Social Media / Online Ads,Windows
203,2018-08-07 10:35:28,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 68.0.3440,Student                                        ,Media Publishing,Android
204,,,,,,Professional                                        ,,
205,2018-08-08 06:38:33,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Search Engine,Windows
206,2018-08-08 07:48:30,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 55.0.2883,Professional                                        ,Search Engine,Windows
207,2018-08-09 03:27:46,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Professional                                        ,Search Engine,Windows
208,2018-08-10 13:16:04,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 61.0,,Search Engine,Windows
209,2018-08-14 09:46:28,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 61.0,Student                                        ,Media Publishing,Windows
210,2018-08-16 06:13:01,Indonesia,https://algorit.ma/data-science-academy/,desktop,Opera 54.0.2952,,Friends / Family ,Windows
211,2018-08-16 09:57:59,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 61.0,Professional                                        ,Friends / Family ,Windows
212,2018-08-21 02:04:13,Indonesia,https://algorit.ma/data-science-academy/,desktop,Vivaldi 1.96.1147,Student                                        ,Social Media / Online Ads,Windows
213,2018-08-21 10:17:57,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Email,Windows
214,2018-08-21 18:58:24,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 62.0,Professional                                        ,Search Engine,Windows
215,2018-08-24 00:25:42,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.0.3,Student                                        ,Social Media / Online Ads,Mac
216,2018-08-24 05:58:39,Indonesia,https://algorit.ma/data-science-academy/,phone,Facebook 185.0.0,Student                                        ,Others ,Android
217,2018-08-24 13:02:22,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Search Engine,Windows
218,2018-08-24 22:50:07,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Others ,Linux
219,2018-08-25 16:28:34,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Social Media / Online Ads,Windows
220,2018-08-29 06:46:47,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Search Engine,Windows
221,2018-08-29 10:56:10,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Social Media / Online Ads,Windows
222,2018-08-29 19:54:16,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,,Email,Windows
223,2018-08-31 03:49:38,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Search Engine,Mac
224,2018-09-01 00:17:12,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Media Publishing,Windows
225,2018-09-02 07:01:37,Indonesia,https://algorit.ma/data-science-academy/,tablet,Mobile Safari 11.0,Professional                                        ,Others ,iOS
226,2018-09-03 07:01:39,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Social Media / Online Ads,Windows
227,2018-09-03 08:05:01,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,,Others ,Windows
228,2018-09-03 12:38:27,Indonesia,https://algorit.ma/data-science-academy/,tablet,Firefox iOS 8.2,Professional                                        ,Search Engine,iOS
229,2018-09-05 07:55:40,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 67.0.3396,Student                                        ,Friends / Family ,Mac
230,2018-09-06 02:11:39,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 48.0,Professional                                        ,Email,Windows
231,2018-09-07 02:39:05,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Search Engine,Windows
232,2018-09-07 07:46:14,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 61.0,Student                                        ,Social Media / Online Ads,Windows
233,2018-09-07 10:34:42,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 69.0.3497,Student                                        ,Social Media / Online Ads,Windows
234,2018-09-07 13:38:49,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 68.0.3440,Student                                        ,Friends / Family ,Android
235,2018-09-10 01:53:26,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Search Engine,Windows
236,2018-09-10 16:20:09,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Student                                        ,Search Engine,Windows
237,2018-09-10 23:52:20,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 69.0.3497,Student                                        ,Search Engine,Linux
238,2018-09-12 16:39:31,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 68.0.3440,Professional                                        ,Search Engine,Android
239,2018-09-13 06:18:56,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 62.0,Professional                                        ,Search Engine,Windows
240,2018-09-14 15:14:59,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 69.0.3497,Professional                                        ,Media Publishing,Linux
241,2018-09-17 10:27:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 68.0.3440,Professional                                        ,Social Media / Online Ads,Mac
